iter	Passed	Remaining
0	131	131739
1	132	66182
2	133	44337
3	134	33379
4	135	26867
5	135	22491
6	136	19351
7	137	16995
8	137	15159
9	138	13689
10	138	12486
11	139	11482
12	140	10635
13	140	9916
14	141	9291
15	142	8743
16	142	8260
17	143	7825
18	144	7436
19	144	7084
20	145	6766
21	145	6477
22	146	6215
23	146	5973
24	147	5757
25	148	5555
26	149	5369
27	149	5193
28	150	5029
29	150	4875
30	151	4731
31	151	4597
32	152	4471
33	153	4351
34	153	4239
35	154	4132
36	155	4035
37	155	3943
38	156	3853
39	157	3768
40	157	3686
41	158	3621
42	159	3546
43	159	3475
44	160	3406
45	161	3341
46	161	3283
47	162	3223
48	163	3167
49	163	3115
50	164	3064
51	165	3014
52	166	2966
53	166	2919
54	167	2874
55	167	2830
56	168	2787
57	169	2745
58	169	2705
59	170	2666
60	170	2628
61	171	2591
62	171	2557
63	172	2524
64	173	2491
65	173	2460
66	174	2429
67	175	2399
68	175	2369
69	176	2341
70	176	2313
71	177	2285
72	177	2259
73	178	2234
74	179	2209
75	179	2187
76	180	2165
77	181	2141
78	181	2119
79	182	2097
80	182	2075
81	183	2054
82	183	2030
83	184	2010
84	184	1990
85	185	1971
86	186	1953
87	186	1936
88	187	1919
89	188	1902
90	188	1885
91	189	1868
92	189	1851
93	190	1835
94	191	1819
95	191	1804
96	192	1789
97	192	1774
98	193	1759
99	194	1746
100	194	1733
101	195	1720
102	196	1707
103	196	1694
104	197	1681
105	197	1669
106	198	1657
107	199	1645
108	199	1633
109	200	1622
110	201	1611
111	201	1600
112	202	1591
113	203	1580
114	204	1570
115	204	1559
116	205	1548
117	206	1541
118	206	1531
119	207	1521
120	208	1511
121	208	1501
122	209	1492
123	210	1483
124	210	1474
125	211	1465
126	211	1456
127	212	1448
128	213	1439
129	213	1431
130	214	1422
131	215	1414
132	215	1405
133	216	1397
134	216	1390
135	217	1382
136	218	1374
137	218	1367
138	219	1359
139	220	1352
140	220	1344
141	221	1336
142	221	1328
143	222	1321
144	222	1314
145	223	1308
146	224	1301
147	224	1294
148	225	1288
149	226	1281
150	226	1274
151	227	1267
152	227	1261
153	228	1254
154	228	1248
155	229	1242
156	230	1235
157	230	1229
158	231	1224
159	232	1218
160	232	1211
161	233	1205
162	233	1199
163	234	1194
164	234	1188
165	235	1183
166	236	1178
167	237	1174
168	237	1168
169	238	1164
170	239	1159
171	239	1154
172	240	1149
173	241	1144
174	241	1139
175	242	1134
176	242	1129
177	243	1124
178	244	1119
179	244	1114
180	245	1109
181	245	1105
182	246	1101
183	247	1096
184	247	1092
185	248	1087
186	249	1082
187	249	1078
188	250	1073
189	250	1069
190	251	1064
191	251	1060
192	252	1055
193	253	1052
194	253	1048
195	254	1043
196	255	1039
197	255	1035
198	256	1031
199	256	1027
200	257	1022
201	257	1018
202	258	1014
203	259	1010
204	259	1006
205	260	1003
206	260	999
207	261	996
208	262	992
209	262	988
210	263	985
211	264	981
212	264	978
213	265	974
214	265	970
215	266	967
216	267	963
217	267	960
218	268	956
219	268	953
220	269	950
221	270	946
222	270	943
223	271	939
224	271	936
225	272	933
226	273	929
227	273	926
228	274	922
229	274	919
230	275	917
231	276	914
232	276	911
233	277	908
234	277	904
235	278	901
236	279	898
237	279	895
238	280	892
239	280	889
240	281	886
241	281	883
242	282	880
243	283	878
244	284	875
245	284	872
246	285	869
247	285	866
248	286	863
249	286	860
250	287	858
251	288	855
252	288	852
253	289	850
254	290	847
255	290	845
256	291	842
257	292	840
258	292	837
259	293	834
260	294	832
261	294	829
262	295	827
263	295	824
264	296	822
265	296	819
266	297	817
267	298	814
268	298	812
269	299	809
270	300	807
271	300	804
272	301	802
273	301	799
274	302	797
275	302	794
276	303	792
277	304	789
278	304	787
279	305	785
280	306	783
281	306	780
282	307	778
283	307	776
284	308	773
285	308	771
286	309	768
287	310	766
288	310	764
289	311	762
290	311	759
291	312	757
292	313	755
293	313	753
294	314	751
295	314	749
296	315	746
297	316	744
298	316	742
299	317	740
300	317	738
301	318	736
302	319	733
303	319	732
304	320	730
305	321	728
306	321	726
307	322	723
308	322	721
309	323	719
310	323	717
311	324	715
312	325	713
313	325	711
314	326	709
315	326	707
316	327	705
317	328	703
318	328	701
319	329	699
320	329	697
321	330	695
322	331	694
323	331	692
324	332	690
325	332	688
326	333	686
327	334	684
328	335	683
329	335	681
330	336	679
331	336	677
332	337	676
333	338	674
334	338	672
335	339	670
336	339	668
337	340	666
338	340	664
339	341	662
340	342	661
341	342	659
342	343	658
343	344	656
344	344	654
345	345	652
346	345	650
347	346	649
348	347	647
349	347	645
350	348	643
351	348	641
352	349	640
353	349	638
354	350	636
355	351	635
356	351	633
357	352	631
358	352	630
359	353	628
360	354	626
361	354	625
362	355	623
363	355	621
364	356	620
365	357	618
366	357	617
367	358	615
368	358	613
369	359	612
370	360	610
371	360	609
372	361	607
373	362	606
374	362	604
375	363	602
376	363	601
377	364	599
378	365	598
379	365	596
380	366	595
381	367	593
382	367	592
383	368	590
384	368	589
385	369	587
386	370	586
387	370	584
388	371	583
389	372	581
390	372	580
391	373	579
392	374	577
393	374	576
394	375	574
395	375	573
396	376	571
397	377	570
398	377	568
399	378	567
400	378	565
401	379	564
402	380	563
403	380	561
404	381	560
405	381	558
406	382	557
407	383	555
408	383	554
409	384	552
410	384	551
411	385	550
412	386	548
413	386	547
414	387	546
415	387	544
416	388	543
417	389	541
418	389	540
419	390	539
420	390	537
421	391	536
422	391	534
423	392	533
424	393	531
425	393	530
426	394	529
427	395	527
428	395	526
429	396	525
430	396	523
431	397	522
432	397	521
433	398	519
434	399	518
435	399	517
436	400	515
437	400	514
438	401	513
439	402	511
440	402	510
441	403	509
442	403	507
443	404	506
444	405	505
445	405	503
446	406	502
447	406	501
448	407	500
449	408	498
450	408	497
451	409	496
452	409	495
453	410	493
454	411	492
455	411	491
456	412	489
457	412	488
458	413	487
459	414	486
460	414	484
461	415	483
462	415	482
463	416	481
464	417	480
465	417	478
466	418	477
467	419	476
468	419	475
469	420	473
470	420	472
471	421	471
472	421	470
473	422	468
474	423	467
475	423	466
476	424	465
477	424	464
478	425	462
479	426	461
480	426	460
481	427	459
482	427	457
483	428	456
484	429	455
485	429	454
486	430	453
487	430	452
488	431	451
489	432	450
490	432	448
491	433	447
492	434	446
493	434	445
494	435	444
495	435	442
496	436	441
497	436	440
498	437	439
499	438	438
500	438	437
501	439	435
502	440	434
503	440	433
504	441	432
505	441	431
506	442	430
507	442	428
508	443	427
509	444	426
510	444	425
511	445	424
512	446	423
513	446	422
514	447	421
515	448	420
516	448	419
517	449	417
518	449	416
